Location ISO Code;Location;New Cases;New Deaths;New Recovered;New Active Cases;Total Cases;Total Deaths;Total Recovered;Total Active Cases;Location Level;City or Regency;Province;Country;Continent;Island;Time Zone;Special Status;Total Regencies;Total Cities;Total Districts;Total Urban Villages;Total Rural Villages;Area (km2);Population;Population Density;Longitude;Latitude;New Cases per Million;Total Cases per Million;New Deaths per Million;Total Deaths per Million;Case Fatality Rate;Case Recovered Rate;Growth Factor of New Cases;Growth Factor of New Deaths;Name;Item;Kind;Hidden
ID-RI;Riau;206;2;116;88;10182;226;6305;3651;Province;;Riau;Indonesia;Asia;Sumatera;UTC+07:00;;10;2;169;268;1591;87024;6074100;69.80;1.018.051.092;0.511647851;33.91;1676.30.00;00.33;37.21.00;2.22%;61.92%;0,046527778;00.40;;;;
ID-RI;Riau;162;4;113;45;10344;230;6418;3696;Province;;Riau;Indonesia;Asia;Sumatera;UTC+07:00;;10;2;169;268;1591;87024;6074100;69.80;1.018.051.092;0.511647851;26.67;1702.97;0,045833333;37.87;2.22%;62.05%;0,054861111;02.00;;;;
ID-RI;Riau;295;12;117;166;10639;242;6535;3862;Province;;Riau;Indonesia;Asia;Sumatera;UTC+07:00;;10;2;169;268;1591;87024;6074100;69.80;1.018.051.092;0.511647851;48.57.00;1751.54.00;0,109722222;39.84;2.27%;61.42%;0,098611111;03.00;;;;
ID-RI;Riau;183;6;120;57;10822;248;6655;3919;Province;;Riau;Indonesia;Asia;Sumatera;UTC+07:00;;10;2;169;268;1591;87024;6074100;69.80;1.018.051.092;0.511647851;30.13.00;1781.66;0,06875;40.83;2.29%;61.50%;0,043055556;00.50;;;;
ID-RI;Riau;278;2;109;167;11100;250;6764;4086;Province;;Riau;Indonesia;Asia;Sumatera;UTC+07:00;;10;2;169;268;1591;87024;6074100;69.80;1.018.051.092;0.511647851;45.77;1827.43.00;00.33;41.16.00;2.25%;60.94%;01.52;00.33;;;;
ID-RI;Riau;256;8;123;125;11356;258;6887;4211;Province;;Riau;Indonesia;Asia;Sumatera;UTC+07:00;;10;2;169;268;1591;87024;6074100;69.80;1.018.051.092;0.511647851;42.15.00;1869.58.00;01.32;42.48.00;2.27%;60.65%;0,063888889;04.00;;;;
ID-RI;Riau;285;4;111;170;11641;262;6998;4381;Province;;Riau;Indonesia;Asia;Sumatera;UTC+07:00;;10;2;169;268;1591;87024;6074100;69.80;1.018.051.092;0.511647851;46.92;1916.50.00;0,045833333;43.13.00;2.25%;60.12%;01.11;00.50;;;;
ID-RI;Riau;198;5;505;-312;11839;267;7503;4069;Province;;Riau;Indonesia;Asia;Sumatera;UTC+07:00;;10;2;169;268;1591;87024;6074100;69.80;1.018.051.092;0.511647851;32.60;1949.10.00;0,056944444;43.96;2.26%;63.38%;0,047916667;01.25;;;;
ID-RI;Riau;178;6;155;17;8067;172;4359;3536;Province;;Riau;Indonesia;Asia;Sumatera;UTC+07:00;;10;2;169;268;1591;87024;6074100;69.80;1.018.051.092;0.511647851;29.30.00;1328.10.00;0,06875;28.32.00;2.13%;54.03%;0,047916667;0,059722222;;;;
ID-RI;Riau;169;2;629;-462;12008;269;8132;3607;Province;;Riau;Indonesia;Asia;Sumatera;UTC+07:00;;10;2;169;268;1591;87024;6074100;69.80;1.018.051.092;0.511647851;27.82;1976.92;00.33;44.29.00;2.24%;67.72%;0,059027778;00.40;;;;
ID-RI;Riau;315;9;307;-1;12323;278;8439;3606;Province;;Riau;Indonesia;Asia;Sumatera;UTC+07:00;;10;2;169;268;1591;87024;6074100;69.80;1.018.051.092;0.511647851;51.86;2028.78;01.48;45.77;2.26%;68.48%;0,101388889;04.50;;;;
ID-RI;Riau;282;6;172;104;12605;284;8611;3710;Province;;Riau;Indonesia;Asia;Sumatera;UTC+07:00;;10;2;169;268;1591;87024;6074100;69.80;1.018.051.092;0.511647851;46.43.00;2075.20.00;0,06875;46.76;2.25%;68.31%;0,0625;0,046527778;;;;
